标题：【一个橘子】毕业季不远了，如果可以，希望你能为我手抄一首诗歌 	 链接：https://tieba.baidu.com//p/5649746143 	 发帖人：丢了ET的喵 	 发帖时间：4-15 	 回复数量：1 
标题：关于学习主题曲中 连读的方式 	 链接：https://tieba.baidu.com//p/5645363502 	 发帖人：爱yo的风 	 发帖时间：4-12 	 回复数量：5 
标题：生活大爆炸 sheldon的姐姐 	 链接：https://tieba.baidu.com//p/3811370262 	 发帖人：蜂蜜玫瑰... 	 发帖时间：2015-06 	 回复数量：9 
标题：离婚了，自由了，解放了~ 	 链接：https://tieba.baidu.com//p/5649439638 	 发帖人：恩臣凳 	 发帖时间：4-15 	 回复数量：0 
标题：amy带leonard去舞会跳小鸡舞是哪集 我找了半天没找到 	 链接：https://tieba.baidu.com//p/5647359725 	 发帖人：混元霹雳昆 	 发帖时间：4-13 	 回复数量：2 
标题：谢尔顿捉弄克里普奇，把他实验室弄得一团糟是哪一集啊 	 链接：https://tieba.baidu.com//p/5648572783 	 发帖人：龙三太子... 	 发帖时间：4-14 	 回复数量：2 
标题：看老友记的时候发现，地质学家伯特有客串啊 	 链接：https://tieba.baidu.com//p/5647440198 	 发帖人：Marco马小可 	 发帖时间：4-13 	 回复数量：4 
标题：我还是不能接受🌝🌝🌝 	 链接：https://tieba.baidu.com//p/5222090274 	 发帖人：我到此... 	 发帖时间：2017-07 	 回复数量：20 
标题：我想要这个同款T恤这个电视停播图案好好玩，可是淘宝上都没有同 	 链接：https://tieba.baidu.com//p/5648661096 	 发帖人：仙女蝶 	 发帖时间：4-14 	 回复数量：0 
标题：第十季第三集霍华德背的包是什么牌子 	 链接：https://tieba.baidu.com//p/4988248385 	 发帖人：无哦1564 	 发帖时间：2017-02 	 回复数量：22 
标题：[求剧集]谢尔顿的姐姐出场是哪一集？ 	 链接：https://tieba.baidu.com//p/2798229254 	 发帖人：铅色小鬼 	 发帖时间：2014-01 	 回复数量：21 
标题：在CBS官网买了几件衣服 	 链接：https://tieba.baidu.com//p/5644054380 	 发帖人：sunnny478 	 发帖时间：4-11 	 回复数量：10 
标题：兰纳德的母亲是这部剧最让人讨厌的角色 	 链接：https://tieba.baidu.com//p/5641168646 	 发帖人：suzhiyusun 	 发帖时间：4-10 	 回复数量：3 
标题：这女生叫什么名字好漂亮 	 链接：https://tieba.baidu.com//p/5637979951 	 发帖人：ADF达令 	 发帖时间：4-8 	 回复数量：5 
标题：看到第三季，我为什么觉得谢尔顿和佩妮很配...他俩在一块儿太好 	 链接：https://tieba.baidu.com//p/4373184629 	 发帖人：ljxlovejiayou 	 发帖时间：2016-02 	 回复数量：30 
标题：对谢尔顿的研究，弦理论纪录片有兴趣看的有木有 	 链接：https://tieba.baidu.com//p/4890154200 	 发帖人：将士1234 	 发帖时间：2016-12 	 回复数量：39 
标题：一起来涨姿势吧，生活大爆炸每一集知识详解 	 链接：https://tieba.baidu.com//p/4664329650 	 发帖人：幽寒淡冷 	 发帖时间：2016-07 	 回复数量：1312 
标题：如果没有艾米，耳朵会和诺维茨基在一起吗？ 	 链接：https://tieba.baidu.com//p/5617083096 	 发帖人：艾姆安... 	 发帖时间：3-26 	 回复数量：10 
标题：【TBBT】S11E15熟肉 	 链接：https://tieba.baidu.com//p/5545708275 	 发帖人：玺子 	 发帖时间：2-8 	 回复数量：40 
标题：不知道是不是只有我无聊的时候会翻来覆去的看每一季！ 	 链接：https://tieba.baidu.com//p/5334648333 	 发帖人：旋转烟花 	 发帖时间：2017-09 	 回复数量：36 
